,0,1 
0,2015 ACURA MDX,49872 
1,2016 ACURA MDX,50122 
2,2014 ACURA MDX TECHNOLOGY,49397 
3,2015 ACURA RDX,37645 
4,2015 AUDI Q7 PREMIUM,55100 
5,2014 AUDI Q5,44600 
6,2015 AUDI Q5 PREMIUM,46000 
7,2017 AUDI Q3 PREMIUM,32850 
8,2017 AUDI Q7 PREMIUM,52250 
9,2014 AUDI SQ5 PREMIUM,44600 
10,2012 AUDI Q7 PRESTIGE,53100 
11,2015 AUDI Q5,46000 
12,2012 MERCEDES-BENZ GL-CLASS GL 450,73435 
13,2017 MERCEDES-BENZ GLS 450,95550 
14,2015 MERCEDES-BENZ M-CLASS ML 350,73350 
15,2013 MERCEDES-BENZ M-CLASS ML 350,71685 
16,2011 MERCEDES-BENZ GLK 350,36500 
17,2017 MERCEDES-BENZ GLE 350,81325 
18,2007 MERCEDES-BENZ GL-CLASS GL 450,53650 
19,2014 MERCEDES-BENZ GL-CLASS GL 450,90580 
20,2015 MERCEDES-BENZ M-CLASS ML 250,73350 
21,2013 MERCEDES-BENZ GLK 350,38000 
22,2014 MERCEDES-BENZ GLK 350,38480 
23,2015 BMW X5,76300 
24,2018 BMW X4,53425 
25,2017 BMW X5,78650 
26,2016 BMW X5,76350 
27,2014 BMW X5,60500 
28,2017 BMW X6,83300 
29,2017 BMW X3,44500 
30,2012 BMW X5 XDRIVE35I SPORT,55850 
31,2013 BMW X6,65100 
32,2017 BMW X1,34750 
33,2011 BMW X6,72950 
34,2008 BMW X5,50500 
35,2015 CHEVROLET EQUINOX LT,27895 
36,2011 CHEVROLET TRAVERSE LT,34810 
37,2007 CHEVROLET TRAILBLAZER,29332 
38,2015 CHEVROLET TRAX LS,23325 
39,2012 CHEVROLET EQUINOX LT,27250 
40,2017 CHEVROLET TAHOE,56177 
41,2014 CHEVROLET EQUINOX,28920 
42,2016 CHEVROLET TAHOE,55870 
43,2011 CHEVROLET EQUINOX,26657 
44,2014 CHEVROLET EQUINOX LT,28920 
45,2016 CHEVROLET EQUINOX,27145 
46,2007 CHEVROLET EQUINOX,23395 
47,2016 DODGE JOURNEY,27345 
48,2011 DODGE DURANGO,36607 
49,2015 DODGE DURANGO,37195 
50,2017 DODGE JOURNEY,27545 
51,2009 DODGE JOURNEY,25130 
52,2016 DODGE DURANGO,37545 
53,2012 DODGE JOURNEY,25395 
54,2013 DODGE DURANGO,36070 
55,2017 DODGE DURANGO,37345 
56,2014 DODGE DURANGO,36695 
57,2016 FORD EXPLORER LIMITED,42010 
58,2013 FORD ESCAPE,27295 
59,2008 FORD EXPLORER LIMITED,31592 
60,2015 FORD EXPLORER,36900 
61,2015 FORD ESCAPE,27467 
62,2014 FORD EDGE,33825 
63,2014 FORD EXPLORER,35845 
64,2016 FORD EDGE,34800 
65,2012 FORD EXPLORER,34067 
66,2016 FORD ESCAPE,27667 
67,2009 FORD FLEX,32680 
68,2014 HONDA CR-V,26870 
69,2008 HONDA CR-V,24550 
70,2016 HONDA PILOT,38557 
71,2017 HONDA PILOT,38982 
72,2015 HONDA CR-V,28215 
73,2001 HONDA CR-V,0 
74,2016 HONDA CR-V,28670 
75,2014 HONDA PILOT,35545 
76,2010 JEEP WRANGLER,26607 
77,2014 JEEP GRAND CHEROKEE LIMITED,46937 
78,2015 JEEP WRANGLER UNLIMITED,29495 
79,2014 JEEP CHEROKEE,26545 
80,2014 JEEP PATRIOT LIMITED,21395 
81,2015 JEEP GRAND CHEROKEE,47445 
82,2008 JEEP COMPASS,20340 
83,2016 JEEP WRANGLER UNLIMITED,30445 
84,2016 JEEP RENEGADE,22495 
85,2017 JEEP GRAND CHEROKEE,48645 
86,2017 JEEP WRANGLER UNLIMITED,30720 
87,2011 JEEP LIBERTY,25750 
88,2012 JEEP WRANGLER,27907 
89,2015 JEEP GRAND CHEROKEE LIMITED,47445 
90,2012 JEEP WRANGLER UNLIMITED,27907 
91,2016 JEEP RENEGADE 75TH ANNIVERSARY,22495 
92,2017 JEEP GRAND CHEROKEE LIMITED,48645 
93,2005 JEEP GRAND CHEROKEE LIMITED,0 
94,2015 LEXUS NX,36230 
95,2010 LEXUS RX 450H,38325 
96,2015 LEXUS RX,44840 
97,2014 LEXUS GX 460,54900 
98,2010 LEXUS RX,38325 
99,2017 LEXUS RX 350 F,46870 
100,2008 LEXUS RX 350,38100 
101,2016 LEXUS NX,36715 
102,2013 LEXUS RX,43505 
103,2016 LEXUS GX,56467 
104,2016 LEXUS RX,45512 
105,2015 LEXUS GX 460,55300 
106,2016 MAZDA CX-5,25832 
107,2009 MAZDA TRIBUTE,26087 
108,2012 MAZDA CX-9 GRAND,32425 
109,2015 MAZDA CX-5,25382 
110,2017 MAZDA CX-5 GRAND,27370 
111,2017 MAZDA CX-5,27370 
112,2015 MAZDA CX-5 GRAND,25382 
113,2016 MAZDA CX-5 GRAND,25832 
114,2017 MAZDA CX-3,23100 
115,2016 NISSAN PATHFINDER,36565 
116,2011 NISSAN ROGUE,23570 
117,2015 NISSAN PATHFINDER,36515 
118,2015 NISSAN ROGUE,26335 
119,2013 NISSAN ROGUE,24130 
120,2011 NISSAN MURANO,34595 
121,2014 NISSAN ROGUE,26210 
122,2015 NISSAN JUKE,25135 
123,2001 NISSAN PATHFINDER,0 
124,2015 NISSAN MURANO,35080 
125,2010 NISSAN ROGUE,21889 
126,2014 NISSAN PATHFINDER,35380 
127,2001 TOYOTA 4RUNNER,0 
128,2008 TOYOTA RAV4 LIMITED,24285 
129,2015 TOYOTA HIGHLANDER,36952 
130,2016 TOYOTA HIGHLANDER HYBRID,49177 
131,2012 TOYOTA 4RUNNER,35860 
132,2015 TOYOTA RAV4,26765 
133,2015 TOYOTA 4RUNNER,38415 
134,2017 TOYOTA 4RUNNER LIMITED,39385 
135,2004 TOYOTA 4RUNNER,0 
136,2011 TOYOTA HIGHLANDER,32567 
137,2013 TOYOTA RAV4,25855 